GEMINI
 1.0000000     0.0000650
 0.9975400     0.0014352
 0.9907000     0.0041159
 0.9803700     0.0061568
 0.9669800     0.0091181
 0.9504400     0.0129296
 0.9306400     0.0171314
 0.9077500     0.0220635
 0.8820200     0.0275058
 0.8537000     0.0332883
 0.8230900     0.0393809
 0.7904800     0.0457537
 0.7561600     0.0523066
 0.7204300     0.0588796
 0.6835900     0.0653426
 0.6459400     0.0715657
 0.6077800     0.0774087
 0.5693700     0.0827417
 0.5309900     0.0874146
 0.4926500     0.0913475
 0.4543500     0.0945203
 0.4163800     0.0968630
 0.3788700     0.0983257
 0.3420400     0.0988382
 0.3060900     0.0983007
 0.2712000     0.0966430
 0.2376000     0.0938153
 0.2054900     0.0898074
 0.1750400     0.0846793
 0.1464800     0.0785011
 0.1199900     0.0713628
 0.0957600     0.0633343
 0.0739500     0.0545256
 0.0546800     0.0452268
 0.0381100     0.0360978
 0.0243300     0.0276386
 0.0133800     0.0197492
 0.0054800     0.0121197
 0.0009800     0.0049699
 0.0000000     0.0000100
 0.0009800    -0.0049299
 0.0054800    -0.0116397
 0.0133800    -0.0178392
 0.0243300    -0.0232886
 0.0381100    -0.0282578
 0.0546800    -0.0328768
 0.0739500    -0.0372356
 0.0957600    -0.0413543
 0.1199900    -0.0451128
 0.1464800    -0.0482411
 0.1750400    -0.0506593
 0.2054900    -0.0524474
 0.2376000    -0.0537453
 0.2712000    -0.0545930
 0.3060900    -0.0549907
 0.3420400    -0.0549082
 0.3788700    -0.0543057
 0.4163800    -0.0532030
 0.4543500    -0.0515903
 0.4926500    -0.0495175
 0.5309900    -0.0470546
 0.5693700    -0.0442617
 0.6077800    -0.0411987
 0.6459400    -0.0379357
 0.6835900    -0.0345626
 0.7204300    -0.0311596
 0.7561600    -0.0277666
 0.7904800    -0.0244037
 0.8230900    -0.0211209
 0.8537000    -0.0179583
 0.8820200    -0.0149958
 0.9077500    -0.0122635
 0.9306400    -0.0098014
 0.9504400    -0.0077096
 0.9669800    -0.0063081
 0.9803700    -0.0051468
 0.9907000    -0.0033659
 0.9975400    -0.0010952
 1.0000000     0.0000650
